Crop,Soil Type,Nitrogen (N),Phosphorus (P),Potassium (K),Crop Growth Stage,Rainfall (mm),Temperature (°C),Irrigation Availability,Past Yield (tons/ha),Pest/Disease,Region,Fertilizer Recommendation
tobacco,sandy,0.7375,0.733333333,0.716666667,Vegetative,0.662962963,0.777777778,Yes,0.805436338,Yes,Karnataka,NPK 20-20-20
oil seeds,black,0.175,0.333333333,0.016666667,Sowing,0.062962963,0.888888889,No,0.945636624,Yes,Rajasthan,MOP
millets,sandy,0.525,0.4,0.233333333,Harvest,0.944444444,0.388888889,Yes,0.410586552,No,Tamil Nadu,Urea
wheat,sandy,0.275,0.316666667,0.416666667,Vegetative,0.488888889,0.666666667,Yes,0.788268956,Yes,Andhra Pradesh,Zinc Sulphate
maize,sandy,0.975,0.333333333,0.183333333,Flowering,0.896296296,0,Yes,0.915593705,No,Madhya Pradesh,DAP
paddy,black,0.6,0.5,0.283333333,Maturity,0.796296296,0.5,Yes,0.018597997,Yes,Gujarat,MOP
maize,loamy,1,0.416666667,0.35,Flowering,0.177777778,0.055555556,No,0.201716738,No,Tamil Nadu,DAP
wheat,loamy,0.55,0.65,0.466666667,Maturity,0.551851852,0.555555556,No,0.43776824,No,Rajasthan,MOP
sugarcane,clayey,0.7875,0.566666667,0.45,Maturity,0.881481481,0,Yes,0.642346209,Yes,Rajasthan,NPK 20-20-20
tobacco,sandy,0.3875,0.733333333,0.433333333,Flowering,0.103703704,0.166666667,No,0.057224607,Yes,Gujarat,FYM
sugarcane,black,0.4625,0.983333333,0.683333333,Harvest,0.518518519,0.944444444,No,0.941344778,Yes,Madhya Pradesh,FYM
cotton,clayey,0.825,0.733333333,0.816666667,Harvest,0.355555556,0.722222222,No,0.763948498,No,Andhra Pradesh,Compost
barley,sandy,0.6625,0.5,0.4,Vegetative,0.344444444,0.166666667,No,0.603719599,Yes,Punjab,NPK 20-20-20
tobacco,loamy,0.9375,0.916666667,0.716666667,Harvest,0.848148148,0.277777778,Yes,0.025751073,No,Rajasthan,NPK 20-20-20
tobacco,loamy,0.775,0.783333333,0.283333333,Sowing,0.466666667,0.333333333,Yes,0.539341917,No,Punjab,NPK 20-20-20
cotton,loamy,0.35,0.866666667,0.2,Maturity,0.474074074,0.222222222,No,0.377682403,Yes,Uttar Pradesh,DAP
sugarcane,black,0.75,0.416666667,0.566666667,Vegetative,0.244444444,0.166666667,No,0.589413448,No,Punjab,Ammonium Sulphate
tobacco,black,0.4,0.95,0.216666667,Vegetative,0.366666667,0.055555556,No,0.945636624,No,Uttar Pradesh,FYM
pulses,black,0.2125,0.05,0.466666667,Harvest,0.666666667,0.611111111,No,0.3490701,Yes,West Bengal,DAP
sugarcane,red,0.65,0.866666667,0.333333333,Vegetative,0.607407407,0.722222222,Yes,0.885550787,Yes,West Bengal,Urea
tobacco,loamy,0.525,0.516666667,0.983333333,Harvest,0.807407407,0.166666667,No,0.690987124,Yes,Punjab,Compost
barley,sandy,0.5125,0.25,0.216666667,Maturity,0.374074074,0.055555556,No,0.918454936,No,Andhra Pradesh,Urea
tobacco,black,0.925,0.616666667,0.733333333,Flowering,0.451851852,0.277777778,Yes,0.642346209,No,Karnataka,Compost
oil seeds,loamy,0.5,0.183333333,0.133333333,Harvest,0.47037037,0,Yes,0.689556509,No,Maharashtra,MOP
pulses,loamy,0.0125,0.033333333,0.166666667,Maturity,0.151851852,0.333333333,No,0.539341917,No,Rajasthan,Urea
ground nuts,black,0.2125,0.416666667,0.483333333,Flowering,0.703703704,0.722222222,No,0.949928469,Yes,Andhra Pradesh,Compost
tobacco,sandy,0.4625,0.666666667,0.383333333,Maturity,0.881481481,1,No,0.87267525,Yes,Madhya Pradesh,Ammonium Sulphate
cotton,clayey,0.9125,0.35,0.95,Vegetative,0.922222222,0.611111111,Yes,0.062947067,No,Gujarat,DAP
sugarcane,clayey,0.825,0.716666667,0.583333333,Sowing,0.859259259,0.722222222,No,0.718168813,No,Uttar Pradesh,Compost
tobacco,clayey,0.625,0.566666667,0.766666667,Flowering,0.214814815,1,Yes,0.51788269,No,Andhra Pradesh,Ammonium Sulphate
millets,loamy,0.5125,0.316666667,0.65,Flowering,0.47037037,0.166666667,Yes,0,No,Madhya Pradesh,Zinc Sulphate
millets,loamy,0.4375,0.183333333,0.2,Flowering,0.67037037,0.166666667,Yes,0.34620887,No,West Bengal,MOP
cotton,black,0.45,0.633333333,0.7,Flowering,0.318518519,0.611111111,Yes,0.789699571,Yes,Maharashtra,Urea
pulses,sandy,0.45,0.283333333,0.316666667,Sowing,0.159259259,0.833333333,Yes,0.82260372,No,Punjab,Zinc Sulphate
oil seeds,sandy,0.2,0.133333333,0.316666667,Maturity,0.748148148,0.277777778,Yes,0.701001431,Yes,Maharashtra,DAP
maize,black,0.6,0.366666667,0.383333333,Sowing,0.940740741,0.333333333,No,0.141630901,No,Rajasthan,DAP
ground nuts,clayey,0.35,0.233333333,0.133333333,Flowering,0.351851852,0.833333333,Yes,0.768240343,No,Uttar Pradesh,MOP
pulses,black,0.125,0.483333333,0.25,Harvest,0.02962963,0.388888889,Yes,0.99713877,No,Rajasthan,NPK 20-20-20
barley,clayey,0.7375,0.533333333,0.4,Flowering,0.377777778,0.388888889,Yes,0.826895565,No,Gujarat,Compost
tobacco,loamy,0.75,0.633333333,0.266666667,Maturity,0.566666667,0.055555556,No,0.663805436,No,Andhra Pradesh,FYM
maize,black,0.475,0.983333333,0.633333333,Sowing,0.344444444,0.888888889,Yes,0.360515021,No,Punjab,MOP
wheat,sandy,0.3375,0.416666667,0.05,Sowing,0.174074074,0.833333333,No,0.901287554,No,Andhra Pradesh,MOP
sugarcane,loamy,0.4875,0.533333333,0.516666667,Maturity,0.251851852,0.944444444,Yes,0.197424893,No,Uttar Pradesh,Compost
tobacco,red,1,0.733333333,0.683333333,Sowing,0.640740741,0.722222222,Yes,0.007153076,No,Karnataka,FYM
paddy,clayey,0.4625,0.166666667,0.366666667,Flowering,0.088888889,0.888888889,Yes,0.563662375,Yes,Karnataka,FYM
paddy,clayey,0.525,0.666666667,0.15,Maturity,0.218518519,0.833333333,Yes,0.330472103,Yes,Uttar Pradesh,MOP
paddy,clayey,0.275,0.483333333,0.616666667,Sowing,0.351851852,0.722222222,Yes,0.944206009,Yes,West Bengal,Ammonium Sulphate
wheat,clayey,0.1875,0.55,0.016666667,Sowing,0.766666667,0.888888889,No,0.327610873,Yes,Uttar Pradesh,MOP
oil seeds,loamy,0.225,0.216666667,0.066666667,Maturity,0.103703704,0.444444444,No,0.108726753,No,Karnataka,MOP
ground nuts,clayey,0.2375,0.15,0.183333333,Maturity,0.448148148,0.833333333,Yes,0.394849785,No,Maharashtra,DAP
maize,red,0.925,0.45,0.95,Vegetative,0.618518519,0.444444444,No,0.194563662,No,West Bengal,DAP
paddy,clayey,0.4,0.333333333,0.55,Harvest,0.133333333,0.111111111,No,0.38769671,Yes,Punjab,Compost
ground nuts,red,0.1,0.466666667,0.25,Harvest,0.455555556,0.166666667,No,0.39055794,No,Rajasthan,Urea
oil seeds,loamy,0.375,0.166666667,0.1,Harvest,0.792592593,0.666666667,Yes,0.553648069,Yes,Maharashtra,MOP
paddy,clayey,0.3625,0.3,0.216666667,Maturity,0.459259259,0.277777778,No,0.286123033,No,Tamil Nadu,MOP
tobacco,black,0.8125,0.5,0.533333333,Vegetative,0.537037037,0.5,Yes,0.995708155,No,Andhra Pradesh,MOP
ground nuts,sandy,0.2875,0.066666667,0.416666667,Harvest,0.655555556,0.611111111,Yes,0.04148784,Yes,Punjab,DAP
maize,loamy,0.2625,0.383333333,0.516666667,Vegetative,0.725925926,0.333333333,No,0.876967096,Yes,Madhya Pradesh,FYM
barley,sandy,0.5375,0.616666667,0.333333333,Vegetative,0.214814815,0.333333333,Yes,0.595135908,Yes,Uttar Pradesh,Ammonium Sulphate
cotton,sandy,0.425,0.65,0.616666667,Sowing,0.366666667,0.833333333,Yes,0.306151645,No,Andhra Pradesh,NPK 20-20-20
wheat,clayey,0.2,0.383333333,0.033333333,Vegetative,0.82962963,0.166666667,Yes,0.015736767,No,Rajasthan,MOP
tobacco,red,0.6125,0.65,0.416666667,Harvest,0.792592593,0.944444444,No,0.443490701,Yes,Uttar Pradesh,Compost
cotton,black,0.8625,0.35,0.883333333,Maturity,0.177777778,0.722222222,Yes,0.350500715,No,Madhya Pradesh,Compost
oil seeds,sandy,0.1375,0.133333333,0.266666667,Maturity,0.362962963,0.277777778,No,0.876967096,No,Madhya Pradesh,DAP
millets,black,0.75,0.666666667,0.433333333,Harvest,0.3,0.944444444,Yes,0.965665236,No,Tamil Nadu,Ammonium Sulphate
paddy,loamy,0.3875,0.25,0.183333333,Sowing,0.037037037,0.277777778,No,0.512160229,Yes,Uttar Pradesh,NPK 20-20-20
sugarcane,loamy,0.6,0.533333333,0.883333333,Flowering,0.644444444,0.666666667,No,0.08297568,No,Gujarat,Ammonium Sulphate
oil seeds,loamy,0.225,0.383333333,0.416666667,Sowing,0.092592593,0.611111111,Yes,0.193133047,No,Uttar Pradesh,Ammonium Sulphate
paddy,loamy,0.1625,0.533333333,0.416666667,Flowering,0.451851852,0.722222222,No,0.404864092,No,Punjab,MOP
ground nuts,loamy,0,0.233333333,0.2,Harvest,0.777777778,0.333333333,No,0.61230329,No,Gujarat,Urea
ground nuts,loamy,0.3875,0.1,0.283333333,Flowering,0.411111111,0.611111111,No,0.743919886,Yes,Andhra Pradesh,DAP
millets,sandy,0.7375,0.466666667,0.166666667,Flowering,0.4,0.5,No,0.429184549,Yes,Uttar Pradesh,Urea
ground nuts,clayey,0.0125,0.166666667,0.05,Harvest,0.651851852,0.333333333,No,0.273247496,No,Gujarat,Urea
wheat,red,0.6875,0.483333333,0.5,Harvest,0.922222222,0.888888889,Yes,0.464949928,Yes,Gujarat,MOP
millets,black,0.725,0.533333333,0.1,Vegetative,0.092592593,0.055555556,No,0.396280401,Yes,Tamil Nadu,MOP
sugarcane,clayey,0.325,0.35,0.883333333,Vegetative,0.4,0.777777778,No,0.931330472,No,Maharashtra,FYM
pulses,sandy,0.4,0.333333333,0.45,Sowing,1,0.5,Yes,0.397711016,No,Rajasthan,Compost
oil seeds,red,0.05,0.266666667,0.183333333,Maturity,0.903703704,0.722222222,No,0.729613734,Yes,Rajasthan,Urea
ground nuts,clayey,0.2,0.383333333,0.166666667,Sowing,0.340740741,0.555555556,No,0.389127325,No,Tamil Nadu,Urea
wheat,black,0.3,0.233333333,0.283333333,Sowing,0.174074074,0.055555556,Yes,0.666666667,Yes,West Bengal,Compost
paddy,loamy,0.6125,0.3,0.033333333,Sowing,0.307407407,0.444444444,Yes,0.447782546,Yes,Uttar Pradesh,MOP
maize,clayey,0.3375,0.75,0.566666667,Vegetative,0.940740741,0.722222222,Yes,0.625178827,Yes,Andhra Pradesh,MOP
wheat,black,0.175,0.5,0.3,Flowering,0.3,0.222222222,No,0.310443491,No,Rajasthan,FYM
sugarcane,red,0.4375,0.766666667,0.95,Flowering,0.644444444,0.944444444,No,0.91702432,No,Maharashtra,Ammonium Sulphate
wheat,black,0.2375,0.6,0.133333333,Harvest,0.466666667,0.333333333,No,0.456366237,Yes,Uttar Pradesh,MOP
wheat,black,0.7125,0.483333333,0.266666667,Maturity,0.188888889,0.222222222,No,0.814020029,No,West Bengal,MOP
maize,clayey,0.5125,0.55,0.833333333,Sowing,0.244444444,0.666666667,No,0.416309013,Yes,Punjab,FYM
oil seeds,sandy,0.175,0.05,0.45,Harvest,0.825925926,0.777777778,Yes,0.549356223,No,Gujarat,DAP
sugarcane,clayey,0.6625,0.5,0.466666667,Maturity,0.211111111,0.111111111,Yes,0.842632332,No,West Bengal,Zinc Sulphate
cotton,red,0.7125,0.383333333,0.75,Vegetative,0.622222222,0.666666667,Yes,0.526466381,Yes,West Bengal,FYM
oil seeds,red,0,0.066666667,0.366666667,Harvest,0.548148148,0.666666667,Yes,0.057224607,Yes,Uttar Pradesh,Urea
oil seeds,clayey,0.1625,0.233333333,0.283333333,Maturity,0.162962963,0.777777778,Yes,0.131616595,No,Maharashtra,NPK 20-20-20
cotton,red,0.95,0.4,0.583333333,Harvest,0.292592593,0.277777778,Yes,0.73676681,No,Karnataka,Urea
sugarcane,black,0.425,0.65,0.266666667,Vegetative,0.444444444,0.666666667,Yes,0.266094421,No,Punjab,FYM
tobacco,sandy,0.9375,0.466666667,0.483333333,Flowering,0.511111111,0.055555556,Yes,0.115879828,No,Rajasthan,Zinc Sulphate
paddy,red,0.2375,0.216666667,0.116666667,Sowing,0.674074074,0.666666667,Yes,0.898426323,No,Rajasthan,MOP
paddy,red,0.7,0.366666667,0.533333333,Vegetative,0.018518519,0.944444444,Yes,0.82832618,No,Tamil Nadu,NPK 20-20-20
tobacco,black,0.5375,0.8,0.166666667,Sowing,0.837037037,0.444444444,Yes,0.011444921,No,Punjab,Urea
sugarcane,red,0.85,0.333333333,0.8,Harvest,0.962962963,0.444444444,Yes,0.715307582,Yes,Rajasthan,NPK 20-20-20
pulses,sandy,0.025,0.45,0.366666667,Harvest,0.681481481,0.388888889,Yes,0.360515021,Yes,Punjab,Urea
tobacco,sandy,0.3875,0.533333333,0.8,Flowering,0.114814815,0.944444444,Yes,0.293276109,No,Punjab,Zinc Sulphate
pulses,sandy,0.375,0.133333333,0.033333333,Maturity,0.3,0.833333333,Yes,0.181688126,Yes,West Bengal,DAP
barley,black,0.55,0.633333333,0.133333333,Vegetative,0.192592593,0.444444444,No,0.552217454,No,Tamil Nadu,MOP
wheat,sandy,0.65,0.2,0.4,Flowering,0.492592593,0.888888889,No,0.13304721,Yes,Rajasthan,NPK 20-20-20
wheat,sandy,0.275,0.2,0.033333333,Sowing,0.592592593,0.722222222,Yes,0.572246066,No,Uttar Pradesh,MOP
barley,clayey,0.45,0.666666667,0.45,Maturity,0.237037037,0.111111111,No,0.583690987,No,Gujarat,Ammonium Sulphate
ground nuts,sandy,0.4625,0.216666667,0.25,Vegetative,0.951851852,0.333333333,No,0.752503577,Yes,Rajasthan,NPK 20-20-20
maize,sandy,0.3625,0.916666667,0.533333333,Harvest,0.733333333,0.444444444,Yes,0.316165951,No,Andhra Pradesh,Compost
ground nuts,red,0.25,0.166666667,0.4,Harvest,0.959259259,0,Yes,0.773962804,Yes,Andhra Pradesh,DAP
sugarcane,red,0.7875,1,0.4,Flowering,0.459259259,0.222222222,Yes,0.17739628,No,Uttar Pradesh,MOP
wheat,clayey,0.4125,0.35,0.033333333,Maturity,0.525925926,0.944444444,No,0.170243205,Yes,Tamil Nadu,MOP
wheat,red,0.5875,0.316666667,0.066666667,Vegetative,0.444444444,0.722222222,No,0.908440629,No,Punjab,MOP
wheat,red,0.1875,0.25,0.416666667,Sowing,0.081481481,0.166666667,Yes,0.881258941,Yes,Punjab,Urea
maize,red,0.625,0.9,0.65,Maturity,0.055555556,0.055555556,No,0.635193133,No,Rajasthan,MOP
maize,sandy,0.3625,0.983333333,0.283333333,Sowing,0.903703704,0.666666667,No,0.918454936,No,Karnataka,Compost
millets,sandy,0.3125,0.233333333,0.066666667,Vegetative,0.47037037,0.833333333,No,0.809728183,Yes,Uttar Pradesh,MOP
